ID1,ID2
rec-3118-org,rec-3118-dup-0
rec-1476-dup-0,rec-1476-org
rec-3798-org,rec-3798-dup-0
rec-2517-org,rec-2517-dup-0
rec-3483-dup-0,rec-3483-org
rec-2091-org,rec-2091-dup-0
rec-2582-org,rec-2582-dup-0
rec-2536-org,rec-2536-dup-0
rec-3894-org,rec-3894-dup-0
rec-3823-dup-0,rec-3823-org
rec-1382-dup-0,rec-1382-org
rec-2214-dup-0,rec-2214-org
rec-2037-org,rec-2037-dup-0
rec-3557-org,rec-3557-dup-0
rec-2511-dup-0,rec-2511-org
rec-3394-org,rec-3394-dup-0
rec-204-org,rec-204-dup-0
rec-3475-dup-0,rec-3475-org
rec-683-dup-0,rec-683-org
rec-185-org,rec-185-dup-0
rec-2871-org,rec-2871-dup-0
rec-95-org,rec-95-dup-0
rec-232-org,rec-232-dup-0
rec-449-org,rec-449-dup-0
rec-2717-org,rec-2717-dup-0
rec-2013-org,rec-2013-dup-0
rec-2730-org,rec-2730-dup-0
rec-2763-dup-0,rec-2763-org
rec-1996-dup-0,rec-1996-org
rec-2055-org,rec-2055-dup-0
rec-817-org,rec-817-dup-0
rec-2714-org,rec-2714-dup-0
rec-3856-org,rec-3856-dup-0
rec-3585-org,rec-3585-dup-0
rec-1530-dup-0,rec-1530-org
rec-1836-org,rec-1836-dup-0
rec-1050-org,rec-1050-dup-0
rec-1514-org,rec-1514-dup-0
rec-2355-dup-0,rec-2355-org
rec-1234-dup-0,rec-1234-org
rec-3495-dup-0,rec-3495-org
rec-190-org,rec-190-dup-0
rec-813-org,rec-813-dup-0
rec-2842-dup-0,rec-2842-org
rec-2554-org,rec-2554-dup-0
rec-542-org,rec-542-dup-0
rec-321-org,rec-321-dup-0
rec-3448-org,rec-3448-dup-0
rec-1667-dup-0,rec-1667-org
rec-279-dup-0,rec-279-org
rec-2363-org,rec-2363-dup-0
rec-3378-dup-0,rec-3378-org
rec-3703-org,rec-3703-dup-0
rec-3390-dup-0,rec-3390-org
rec-1066-org,rec-1066-dup-0
rec-3288-org,rec-3288-dup-0
rec-852-dup-0,rec-852-org
rec-2902-dup-0,rec-2902-org
rec-1212-org,rec-1212-dup-0
rec-1923-org,rec-1923-dup-0
rec-2257-org,rec-2257-dup-0
rec-3624-org,rec-3624-dup-0
rec-3651-org,rec-3651-dup-0
rec-1243-dup-0,rec-1243-org
rec-2963-dup-0,rec-2963-org
rec-1094-org,rec-1094-dup-0
rec-60-dup-0,rec-60-org
rec-1869-dup-0,rec-1869-org
rec-1853-org,rec-1853-dup-0
rec-3738-org,rec-3738-dup-0
rec-3588-dup-0,rec-3588-org
rec-1175-org,rec-1175-dup-0
rec-2401-org,rec-2401-dup-0
rec-1643-dup-0,rec-1643-org
rec-3284-dup-0,rec-3284-org
rec-1432-org,rec-1432-dup-0
rec-1961-dup-0,rec-1961-org
rec-1620-org,rec-1620-dup-0
rec-2411-dup-0,rec-2411-org
rec-784-dup-0,rec-784-org
rec-2820-dup-0,rec-2820-org
rec-3885-dup-0,rec-3885-org
rec-3292-dup-0,rec-3292-org
rec-875-org,rec-875-dup-0
rec-3418-org,rec-3418-dup-0
rec-1412-dup-0,rec-1412-org
rec-2080-dup-0,rec-2080-org
rec-2429-org,rec-2429-dup-0
rec-2757-org,rec-2757-dup-0
rec-860-dup-0,rec-860-org
rec-3795-org,rec-3795-dup-0
rec-3183-org,rec-3183-dup-0
rec-3639-org,rec-3639-dup-0
rec-2946-org,rec-2946-dup-0
rec-3879-dup-0,rec-3879-org
rec-2256-org,rec-2256-dup-0
rec-3757-org,rec-3757-dup-0
rec-3943-dup-0,rec-3943-org
rec-1178-org,rec-1178-dup-0
rec-326-org,rec-326-dup-0
rec-3332-dup-0,rec-3332-org
rec-3056-org,rec-3056-dup-0
rec-1716-org,rec-1716-dup-0
rec-1029-org,rec-1029-dup-0
rec-246-dup-0,rec-246-org
rec-1415-dup-0,rec-1415-org
rec-120-org,rec-120-dup-0
rec-3491-org,rec-3491-dup-0
rec-215-dup-0,rec-215-org
rec-3675-org,rec-3675-dup-0
rec-1449-dup-0,rec-1449-org
rec-2604-org,rec-2604-dup-0
rec-3434-org,rec-3434-dup-0
rec-792-dup-0,rec-792-org
rec-3440-org,rec-3440-dup-0
rec-3631-dup-0,rec-3631-org
rec-2923-org,rec-2923-dup-0
rec-3898-org,rec-3898-dup-0
rec-319-dup-0,rec-319-org
rec-929-org,rec-929-dup-0
rec-1536-dup-0,rec-1536-org
rec-601-org,rec-601-dup-0
rec-1173-dup-0,rec-1173-org
rec-1664-org,rec-1664-dup-0
rec-3904-org,rec-3904-dup-0
rec-429-org,rec-429-dup-0
rec-3096-dup-0,rec-3096-org
rec-255-dup-0,rec-255-org
rec-1451-dup-0,rec-1451-org
rec-3400-dup-0,rec-3400-org
rec-2575-org,rec-2575-dup-0
rec-1886-dup-0,rec-1886-org
rec-1554-dup-0,rec-1554-org
rec-2242-org,rec-2242-dup-0
rec-766-dup-0,rec-766-org
rec-541-org,rec-541-dup-0
rec-1668-dup-0,rec-1668-org
rec-2917-org,rec-2917-dup-0
rec-1941-dup-0,rec-1941-org
rec-3816-dup-0,rec-3816-org
rec-939-org,rec-939-dup-0
rec-650-org,rec-650-dup-0
rec-2026-org,rec-2026-dup-0
rec-3158-dup-0,rec-3158-org
rec-3282-dup-0,rec-3282-org
rec-5-dup-0,rec-5-org
rec-1105-dup-0,rec-1105-org
rec-469-dup-0,rec-469-org
rec-3205-dup-0,rec-3205-org
rec-1201-dup-0,rec-1201-org
rec-2889-org,rec-2889-dup-0
rec-1333-org,rec-1333-dup-0
rec-1867-dup-0,rec-1867-org
rec-3995-org,rec-3995-dup-0
rec-1533-dup-0,rec-1533-org
rec-1803-org,rec-1803-dup-0
rec-3642-org,rec-3642-dup-0
rec-3524-dup-0,rec-3524-org
rec-763-dup-0,rec-763-org
rec-2938-org,rec-2938-dup-0
rec-22-dup-0,rec-22-org
rec-3933-dup-0,rec-3933-org
rec-835-org,rec-835-dup-0
rec-581-dup-0,rec-581-org
rec-3660-org,rec-3660-dup-0
rec-2640-org,rec-2640-dup-0
rec-2179-dup-0,rec-2179-org
rec-2911-dup-0,rec-2911-org
rec-1912-org,rec-1912-dup-0
rec-3279-dup-0,rec-3279-org
rec-73-dup-0,rec-73-org
rec-3161-org,rec-3161-dup-0
rec-1517-org,rec-1517-dup-0
rec-2463-org,rec-2463-dup-0
rec-598-dup-0,rec-598-org
rec-538-dup-0,rec-538-org
rec-3907-dup-0,rec-3907-org
rec-2227-dup-0,rec-2227-org
rec-1944-org,rec-1944-dup-0
rec-1516-dup-0,rec-1516-org
rec-3772-org,rec-3772-dup-0
rec-1156-org,rec-1156-dup-0
rec-3113-org,rec-3113-dup-0
rec-1424-dup-0,rec-1424-org
rec-1147-org,rec-1147-dup-0
rec-2776-dup-0,rec-2776-org
rec-1381-org,rec-1381-dup-0
rec-3872-org,rec-3872-dup-0
